player,score,platform,style,proof level,vid pb,notes,proof link,time,editor
Guerrero,1252240,Console,Tap,Video,1252240,,,1626226770912,Hydrantdude
evesy,1138920,Emulator,Tap,Image,,,,1627335135132,DTFPS
evesy,1227560,Emulator,Tap,Image,1007820,,,1644443524790,NerdTheBox
evesy,1202540,Emulator,Tap,Video,1007820,,,1679415237375,Samual Finch
ITZSharky,1155337,Console,DAS,Video,,,,1600315152305,Hydrantdude
ITZSharky,1209629,Console,DAS,Video,,,,1602475574446,Hydrantdude
ITZSharky,1224563,Console,DAS,Image,1209629,. 1209629 video PB,,1627754339807,Hydrantdude
Aria04,1230500,Emulator,Roll,Claim,,,,1657581475011,NerdTheBox
night,1133360,Console,DAS,Video,,,,1617655107392,Cool Iceage
night,1159720,Console,DAS,Video,,,,1618268341600,Hydrantdude
night,1166035,Console,DAS,Video,,,,1623888504037,Hydrantdude
night,1191220,Console,DAS,Video,,,,1629741809957,Hydrantdude
night,1227420,Console,DAS,Image,,1.206 video PB,,1634418330436,NerdTheBox
night,1279380,Console,DAS,Video,,,,1649199124241,NerdTheBox
night,1291700,Console,DAS+Roll,Video,,,,1649457489288,NerdTheBox
night,1438640,Console,DAS+Roll,Video,1438640,,,1675465814465,algebruh
Nowi,1141120,Console,Roll,Video,,,,1650733581783,Hydrantdude
Nowi,1206020,Console,Roll,Video,,,,1655584221432,Hydrantdude
Nowi,1228680,Console,Roll,Video,1228680,,,1655763819367,Hydrantdude
Nowi,1260620,Console,Roll,Image,1228680,,,1660607827616,NerdTheBox
Nowi,1317580,Console,Roll,Video,1317580,,https://www.youtube.com/watch?v=Pb78qB_wZco,1672541316393,Bunny Boing
Nowi,1323980,Console,Roll,Image,1317580,,,1683316354962,Samual Finch
Greentea,1133960,Console,DAS,Video,1133960,,,1587398624074,Hydrantdude
Greentea,1195860,Console,DAS,Video,1195860,,,1670677863334,NerdTheBox
Pangrangga CLAMP,1100760,Emulator,Tap,Video,,Butterfly Tapping,,1623981822743,Hydrantdude
Pangrangga CLAMP,1162840,Emulator,Tap,Video,,Butterfly Tapping,,1625308545574,Cool Iceage
Pangrangga CLAMP,1192200,Emulator,Tap,Video,,Butterfly Tapping,,1631986713980,Cool Iceage
Pangrangga CLAMP,1220680,Emulator,Tap,Video,,Butterfly Tapping,,1637502348154,NerdTheBox
Pangrangga CLAMP,1256780,Emulator,Butterfly,Video,1256780,Butterfly Tapping,,1646223525967,NerdTheBox
Pangrangga CLAMP,1296100,Emulator,Butterfly,Video,1296100,,https://www.youtube.com/watch?v=rCEAeOYbZNI,1666148707824,Hydrantdude
Josh Tolles,1214942,Console,DAS,Video,1214942,,,1587398428292,Hydrantdude
usernamegold,1152707,Emulator,DAS,Image,,. 1.1 video PB,,1633127097860,NerdTheBox
usernamegold,1117987,Emulator,DAS,Video,,,,1657838556036,Hydrantdude
Limão,1157959,Console,Tap,Video,1157959,,,1657454637859,NerdTheBox
Blue Scuti,1206386,Console,Tap,Video,,youngest 1.2 player,,1646592531377,NerdTheBox
Blue Scuti,1244940,Console,Roll,Video,,youngest 1.2 player. 19 start,,1651807220508,Hydrantdude
Blue Scuti,1376159,Console,Roll,Video,1244940,youngest 1.2 player,,1675466499466,algebruh
Blue Scuti,1959062,Console,Roll,Video,1959062,youngest 1.2 player,,1677281753017,algebruh
Jani,1192280,Console,DAS,Video,,,,1587398624074,Hydrantdude
Jani,1219380,Emulator,DAS,Video,1219380,,,1653359095766,NerdTheBox
giovanni,1132370,Emulator,DAS,Image,,. 1.068 video PB,,1607676873360,Hydrantdude
giovanni,1200254,Emulator,DAS,Partial Video,,vid pb 1197780,,1611143871003,Petr Verner
giovanni,1201800,Console,DAS,Video,1201800,,,1655308666798,NerdTheBox
giovanni,1243780,Console,DAS,Video,1243780,,,1661686227104,NerdTheBox
giovanni,1275551,Console,DAS,Video,1275551,,,1678616156564,Samual Finch
Tebanoku,1174000,Emulator,Tap,Image,,Video Exists. Could be console,,1678162741765,Samual Finch
Stick Ang,1259931,Emulator,Tap,Video,1259931,Sus tapping. 8th max,,1626134327195,Hydrantdude
Czar Jordan,1105249,Console,DAS,Video+,1105249,,,1674425505568,algebruh
Portalll,1605480,Console,Roll,Image,1558100,,,1674423630999,algebruh
Portalll,1724940,Console,Roll,Video,1724940,,,1676505056548,algebruh
Portalll,2232860,Console,Roll,Video,2232860,,,1679762355204,Samual Finch
Portalll,2713080,Console,Roll,Video,2713080,,,1682103189603,Samual Finch
Lukeand26,1102540,Console,Tap,Video,,,,1595395574674,Hydrantdude
Lukeand26,1176780,Console,Tap,Video,,,,1595479312536,Hydrantdude
Lukeand26,1204380,Console,Tap,Video,,,,1600459628203,Hydrantdude
Lukeand26,1217680,Console,Tap,Video,,In match,,1601252641837,Hydrantdude
Lukeand26,1257920,Console,Tap,Video,1257920,,,1615906565799,Cool Iceage
HeistOnline,1137880,Console,Tap,Video+,1137880,,,1678161704089,Samual Finch
atkoster2,1168660,Console,Tap,Image,1162940,,,1654709029036,Hydrantdude
atkoster2,1280860,Console,Tap,Video,1280860,,,1667526738099,algebruh
atkoster2,1316540,Console,Tap,Video,1316540,,,1676505731726,algebruh
atkoster2,1328300,Console,Tap,Partial Video,1316540,,,1678614744738,Samual Finch
Bendy1,1105821,Console,DAS,Image,1035000,,,1661046308921,Hydrantdude
Bendy1,1141680,Console,DAS,Image,1035000,,,1661256476384,NerdTheBox
Bendy1,1156220,Console,DAS,Video+,1156220,,,1669262432469,algebruh
Bendy1,1198460,Console,DAS,Video+,1198460,,,1676496492169,algebruh
Spheal,1137032,Emulator,Tap,Claim,,,,1647721633574,NerdTheBox
Spheal,1112171,Emulator,Tap,Video,,,,1657839327032,Hydrantdude
Dillan,1138440,Emulator,DAS+Tap,Video,,History Viewer,,1608488327799,Petr Verner
Dillan,1171900,Emulator,DAS+Tap,Video,,History Viewer,,1609124820354,Hydrantdude
Dillan,1187800,Console,DAS+Tap,Video,,,,1622333091284,Cool Iceage
Dillan,1201520,Console,DAS+Tap,Partial Video,,93 lines+. 1187800 full vid,,1624402365323,Hydrantdude
Dillan,1240900,Console,DAS+Tap,Video,,,,1625308770210,Cool Iceage
Dillan,1318020,Console,DAS+Tap,Video,1318020,,,1646549558955,DTFPS
Dillan,1362500,Console,DAS+Tap,Video,,,https://www.youtube.com/watch?v=1vMlshXnnD4,1671027477415,algebruh
KunfusingPoke,1122329,Console,Tap,Video,,,,1639673775031,Hydrantdude
KunfusingPoke,1178620,Console,Tap,Claim,,1122329 video pb,,1655123413228,NerdTheBox
